,stalk-color-below-ring,stalk-shape,veil-type,gill-spacing,class,spore-print-color,stalk-surface-below-ring,ring-number,cap-shape,gill-attachment,ring-type,bruises,stalk-root,stalk-surface-above-ring,gill-color,stalk-color-above-ring,habitat,population,cap-surface,veil-color,cap-color,odor,gill-size,d-var
1186,b,e,p,c,p,h,k,o,x,f,l,f,b,k,h,p,p,y,y,w,g,f,b,g
1187,p,e,p,c,p,h,k,o,x,f,l,f,b,k,h,n,d,y,y,w,y,f,b,y
1188,w,t,p,c,p,w,k,o,k,f,e,f,?,s,b,p,p,v,y,w,e,s,n,e
1189,w,e,p,c,e,k,s,o,b,f,p,t,c,s,g,w,m,s,y,w,y,l,b,y
1190,w,t,p,w,e,k,s,o,x,f,e,f,e,s,k,w,g,a,s,w,g,n,b,g
1191,p,t,p,c,p,w,s,o,x,f,e,f,?,k,b,w,d,v,s,w,e,y,n,e
1192,p,t,p,c,p,w,k,o,f,f,e,f,?,k,b,w,l,v,s,w,e,y,n,e
1193,w,e,p,c,p,n,s,o,x,f,p,t,e,s,w,w,g,s,s,w,w,p,n,w
1194,p,e,p,c,p,h,k,o,x,f,l,f,b,k,p,n,g,v,y,w,g,f,b,g
1195,w,e,p,c,e,w,s,t,f,f,e,t,?,s,e,w,w,c,s,w,e,n,b,e
1196,w,t,p,c,p,h,s,o,f,f,p,t,b,s,w,w,u,v,s,w,g,f,b,g
1197,w,t,p,c,e,k,s,o,f,f,p,t,b,s,w,w,d,y,y,w,g,n,b,g
1198,w,t,p,c,e,k,s,o,f,f,p,t,b,s,u,w,d,y,f,w,g,n,b,g
1199,w,e,p,c,p,n,s,o,x,f,p,f,b,s,g,w,d,v,f,w,g,c,n,g
1200,w,t,p,c,p,w,s,o,x,f,e,f,?,k,b,p,l,v,s,w,e,s,n,e
1201,w,e,p,c,e,n,s,o,b,f,p,t,c,s,g,w,g,s,y,w,w,a,b,w
1202,n,e,p,c,p,w,y,o,k,f,e,f,?,k,w,w,d,v,y,w,y,n,n,y
1203,w,e,p,c,e,k,s,o,b,f,p,t,c,s,g,w,g,n,s,w,y,a,b,y
1204,p,t,p,c,p,w,s,o,k,f,e,f,?,s,b,p,l,v,s,w,n,f,n,n
1205,g,t,p,c,e,n,s,o,x,f,p,t,b,s,p,w,d,y,y,w,e,n,b,e
1206,b,e,p,c,p,h,k,o,x,f,l,f,b,k,h,b,p,v,y,w,y,f,b,y
1207,n,e,p,c,p,h,k,o,f,f,l,f,b,k,g,p,p,y,f,w,g,f,b,g
1208,b,e,p,c,p,h,k,o,x,f,l,f,b,k,p,p,d,v,y,w,y,f,b,y
1209,w,e,p,c,e,n,y,o,f,f,p,t,r,s,p,w,p,y,y,w,n,l,b,n
1210,w,e,p,c,p,n,s,o,x,f,p,t,e,s,n,w,g,s,y,w,n,p,n,n
1211,p,e,p,c,p,h,k,o,x,f,l,f,b,k,g,p,g,v,f,w,g,f,b,g
1212,n,e,p,c,p,h,k,o,f,f,l,f,b,k,h,n,g,y,f,w,y,f,b,y
1213,w,e,p,c,e,k,s,o,x,f,p,t,c,s,n,w,g,n,s,w,w,l,b,w
1214,w,e,p,c,e,n,y,o,x,f,p,t,r,s,p,w,p,y,y,w,n,l,b,n
1215,w,t,p,c,e,n,s,o,f,f,p,t,b,s,n,p,d,v,y,w,e,n,b,e
1216,w,t,p,c,e,k,s,o,x,f,p,t,b,s,n,p,d,v,y,w,n,n,b,n
1217,g,t,p,c,e,n,s,o,x,f,p,t,b,s,w,w,d,y,f,w,g,n,b,g
1218,g,t,p,c,e,k,s,o,f,f,p,t,b,s,w,p,d,y,y,w,g,n,b,g
1219,w,e,p,c,e,n,s,o,b,f,p,t,c,s,g,w,m,s,y,w,w,a,b,w
1220,w,t,p,w,e,n,f,o,f,f,e,f,e,f,n,w,g,a,f,w,w,n,b,w
1221,b,e,p,c,p,h,k,o,x,f,l,f,b,k,g,b,g,y,f,w,g,f,b,g
1222,w,e,p,c,e,h,f,o,f,f,f,f,?,s,w,w,d,y,y,w,u,n,n,u
1223,p,t,p,c,p,w,s,o,k,f,e,f,?,s,b,w,d,v,s,w,e,s,n,e
1224,p,t,p,c,e,n,s,o,f,f,p,t,b,s,w,p,d,v,y,w,g,n,b,g
1225,b,e,p,c,p,h,k,o,x,f,l,f,b,k,g,n,g,y,f,w,y,f,b,y
1226,w,t,p,c,p,w,k,o,k,f,e,f,?,k,b,w,p,v,y,w,n,s,n,n
1227,p,t,p,c,p,w,s,o,f,f,e,f,?,s,b,p,d,v,y,w,n,y,n,n
1228,g,t,p,c,e,n,s,o,f,f,p,t,b,s,w,p,d,v,y,w,e,n,b,e
1229,p,t,p,c,p,w,s,o,f,f,e,f,?,k,b,p,l,v,y,w,n,s,n,n
1230,w,e,p,c,e,n,y,o,x,f,p,t,r,s,n,w,p,y,y,w,n,a,b,n
1231,w,e,p,c,e,k,s,o,x,f,p,t,c,s,n,w,g,n,y,w,y,l,b,y
1232,b,e,p,c,p,h,k,o,f,f,l,f,b,k,h,p,g,v,y,w,g,f,b,g
1233,w,e,p,c,e,k,s,o,b,f,p,t,c,s,w,w,g,n,s,w,w,l,b,w
1234,w,e,p,w,p,k,s,o,x,f,p,f,b,s,p,w,d,s,f,w,w,c,n,w
1235,w,e,p,w,p,k,s,o,x,f,p,f,b,s,g,w,d,v,f,w,w,c,n,w
1236,w,t,p,c,p,w,s,o,k,f,e,f,?,k,b,w,p,v,s,w,e,s,n,e
1237,w,t,p,c,e,k,s,o,x,f,p,t,b,s,w,p,d,y,f,w,n,n,b,n
1238,p,t,p,c,e,n,s,o,f,f,p,t,b,s,u,g,d,y,f,w,g,n,b,g
1239,p,t,p,c,p,w,s,o,k,f,e,f,?,k,b,w,d,v,s,w,e,f,n,e
1240,e,e,p,c,e,w,s,t,k,f,e,t,?,s,w,e,w,c,s,w,b,n,b,b
1241,w,t,p,w,e,u,s,o,f,f,p,t,b,s,w,w,d,v,f,w,y,a,n,y
1242,w,t,p,c,p,w,k,o,x,f,e,f,?,k,b,w,p,v,s,w,n,y,n,n
1243,p,t,p,c,p,w,s,o,k,f,e,f,?,s,b,w,d,v,s,w,n,s,n,n
1244,w,e,p,c,e,n,s,o,x,f,p,t,c,s,n,w,g,n,s,w,y,a,b,y
1245,p,t,p,c,e,k,s,o,x,f,p,t,b,s,p,g,d,v,f,w,e,n,b,e
1246,w,e,p,c,e,w,s,t,x,f,e,t,?,s,e,w,w,c,y,w,b,n,b,b
1247,w,t,p,c,p,h,s,o,x,f,p,t,b,s,w,w,g,v,s,w,b,f,b,b
1248,w,t,p,c,p,w,s,o,f,f,e,f,?,s,b,w,l,v,y,w,e,f,n,e
1249,w,t,p,c,e,n,s,o,x,f,p,t,b,s,n,w,d,y,y,w,g,n,b,g
1250,w,t,p,c,e,k,s,o,f,f,p,t,b,s,n,w,d,y,f,w,n,n,b,n
1251,p,t,p,c,p,w,s,o,k,f,e,f,?,s,b,p,d,v,s,w,e,s,n,e
1252,w,t,p,w,e,u,s,o,x,f,p,t,b,s,w,w,d,v,s,w,w,a,n,w
1253,w,t,p,w,e,k,s,o,f,f,e,f,e,s,h,w,g,a,f,w,g,n,b,g
1254,w,t,p,c,p,w,s,o,f,f,e,f,?,k,b,w,d,v,y,w,e,f,n,e
1255,p,t,p,c,e,n,s,o,x,f,p,t,b,s,w,p,d,v,f,w,e,n,b,e
1256,w,t,p,w,e,k,f,o,x,f,e,f,e,s,h,w,g,s,f,w,n,n,b,n
1257,p,t,p,c,p,w,k,o,x,f,e,f,?,k,b,p,l,v,y,w,n,f,n,n
1258,w,t,p,c,p,w,s,o,k,f,e,f,?,k,b,p,d,v,y,w,e,f,n,e
1259,w,t,p,c,p,w,s,o,x,f,e,f,?,s,b,p,d,v,y,w,n,s,n,n
1260,p,t,p,c,p,w,k,o,k,f,e,f,?,s,b,w,l,v,s,w,n,f,n,n
1261,w,e,p,c,p,k,s,o,x,f,p,f,b,s,u,w,d,v,f,w,w,c,n,w
1262,w,t,p,c,p,w,s,o,f,f,e,f,?,s,b,p,p,v,s,w,e,y,n,e
1263,g,t,p,c,e,k,s,o,x,f,p,t,b,s,n,g,d,v,y,w,e,n,b,e
1264,n,e,p,c,p,h,k,o,x,f,l,f,b,k,h,b,p,y,f,w,g,f,b,g
1265,w,t,p,c,p,h,f,o,f,f,p,t,b,f,w,w,u,s,s,w,b,f,b,b
1266,w,t,p,w,e,n,f,o,x,f,e,f,e,s,h,w,g,s,s,w,n,n,b,n
1267,w,e,p,c,e,n,s,o,f,f,p,f,e,s,p,w,u,v,f,w,n,n,n,n
1268,p,e,p,c,p,h,k,o,f,f,l,f,b,k,g,n,d,v,y,w,g,f,b,g
1269,w,t,p,c,p,w,k,o,f,f,e,f,?,s,b,p,p,v,s,w,e,s,n,e
1270,g,t,p,c,e,k,s,o,x,f,p,t,b,s,u,g,d,y,f,w,n,n,b,n
1271,w,t,p,c,p,w,s,o,x,f,e,f,?,k,b,p,p,v,y,w,e,s,n,e
1272,w,t,p,w,e,k,f,o,x,f,e,f,e,f,k,w,g,a,s,w,n,n,b,n
1273,p,t,p,c,e,n,s,o,x,f,p,t,b,s,u,w,d,v,y,w,e,n,b,e
1274,b,e,p,c,p,h,k,o,f,f,l,f,b,k,g,p,d,v,y,w,g,f,b,g
1275,w,t,p,c,e,n,s,o,f,f,p,t,b,s,n,p,d,y,f,w,g,n,b,g
1276,p,t,p,c,p,w,s,o,k,f,e,f,?,k,b,w,l,v,s,w,n,f,n,n
1277,w,t,p,c,e,k,s,o,x,f,p,t,b,s,w,g,d,v,y,w,n,n,b,n
1278,w,t,p,w,e,k,f,o,f,f,e,f,e,s,k,w,g,s,f,w,n,n,b,n
1279,w,t,p,c,e,k,s,o,f,f,p,t,b,s,w,g,d,y,y,w,g,n,b,g
1280,w,t,p,w,e,k,f,o,f,f,e,f,e,f,p,w,g,s,s,w,n,n,b,n
1281,p,e,p,c,p,h,k,o,f,f,l,f,b,k,h,n,p,y,f,w,g,f,b,g
1282,g,t,p,c,e,k,s,o,f,f,p,t,b,s,n,g,d,v,y,w,n,n,b,n
1283,g,t,p,c,e,n,s,o,x,f,p,t,b,s,u,w,d,y,f,w,g,n,b,g
1284,w,t,p,c,p,w,k,o,k,f,e,f,?,k,b,w,p,v,y,w,n,y,n,n
1285,w,t,p,c,p,w,s,o,k,f,e,f,?,s,b,p,d,v,y,w,e,f,n,e
1286,w,t,p,c,p,h,f,o,f,f,p,t,b,s,p,w,g,v,s,w,g,f,b,g
1287,p,e,p,c,p,h,k,o,x,f,l,f,b,k,g,b,d,v,y,w,g,f,b,g
1288,o,e,p,c,e,o,s,o,x,a,p,f,?,s,n,o,l,v,s,n,n,n,b,n
1289,o,e,p,c,e,n,s,o,x,a,p,f,?,s,o,o,l,v,s,n,n,n,b,n
1290,p,e,p,c,p,h,k,o,f,f,l,f,b,k,g,p,d,y,y,w,g,f,b,g
1291,w,t,p,c,e,n,s,o,x,f,p,t,b,s,n,g,d,y,y,w,e,n,b,e
1292,p,t,p,c,p,w,s,o,x,f,e,f,?,s,b,w,p,v,y,w,n,f,n,n
1293,n,e,p,c,p,h,k,o,x,f,l,f,b,k,p,n,d,y,f,w,y,f,b,y
1294,o,e,p,c,e,b,s,o,x,a,p,f,?,s,y,o,l,c,s,o,n,n,b,n
1295,p,t,p,c,p,w,k,o,f,f,e,f,?,s,b,w,l,v,y,w,n,y,n,n
1296,p,t,p,c,p,w,k,o,f,f,e,f,?,k,b,p,l,v,y,w,n,f,n,n
1297,p,t,p,c,e,n,s,o,f,f,p,t,b,s,n,g,d,v,y,w,n,n,b,n
1298,p,e,p,c,p,h,k,o,x,f,l,f,b,k,g,n,g,y,y,w,g,f,b,g
1299,p,t,p,c,p,w,s,o,k,f,e,f,?,s,b,w,p,v,y,w,n,f,n,n
1300,w,e,p,c,p,n,s,o,f,f,p,t,e,s,k,w,g,s,y,w,n,p,n,n
1301,p,t,p,c,p,w,s,o,f,f,e,f,?,k,b,p,l,v,s,w,n,s,n,n
1302,p,t,p,c,e,n,s,o,f,f,p,t,b,s,p,w,d,v,f,w,g,n,b,g
1303,w,e,p,w,e,w,s,t,x,f,p,f,?,s,w,w,g,s,s,w,g,n,b,g
1304,p,e,p,c,p,h,k,o,f,f,l,f,b,k,p,p,p,v,f,w,g,f,b,g
1305,w,e,p,w,e,w,k,t,b,f,p,f,?,s,p,w,g,s,s,w,w,n,b,w
1306,w,t,p,w,e,n,f,o,x,f,e,f,e,s,k,w,g,s,f,w,w,n,b,w
1307,w,t,p,c,p,w,s,o,k,f,e,f,?,s,b,w,l,v,y,w,e,s,n,e
1308,g,t,p,c,e,n,s,o,x,f,p,t,b,s,n,p,d,y,y,w,e,n,b,e
1309,w,e,p,c,e,n,s,o,x,f,p,t,c,s,g,w,g,s,s,w,w,l,b,w
1310,p,t,p,c,e,k,s,o,x,f,p,t,b,s,u,p,d,y,f,w,g,n,b,g
1311,p,t,p,c,e,n,s,o,f,f,p,t,b,s,p,g,d,y,f,w,n,n,b,n
1312,w,e,p,c,e,n,y,o,f,f,p,t,r,s,p,w,g,s,y,w,y,l,b,y
1313,n,e,p,c,p,h,k,o,f,f,l,f,b,k,g,p,d,v,f,w,g,f,b,g
1314,p,e,p,c,p,h,k,o,x,f,l,f,b,k,p,p,d,v,y,w,g,f,b,g
1315,g,t,p,c,e,k,s,o,x,f,p,t,b,s,w,p,d,y,y,w,e,n,b,e
1316,w,e,p,c,e,k,s,o,b,f,p,t,c,s,w,w,m,n,y,w,w,l,b,w
1317,w,e,p,c,e,w,s,t,x,f,p,t,b,s,w,w,p,v,y,w,p,n,b,p
1318,n,e,p,c,p,h,k,o,f,f,l,f,b,k,h,b,d,v,f,w,y,f,b,y
1319,w,t,p,c,p,h,f,o,f,f,p,t,b,f,h,w,u,s,s,w,b,f,b,b
1320,w,t,p,c,p,w,s,o,x,f,e,f,?,s,b,p,l,v,s,w,e,s,n,e
1321,e,e,p,c,e,w,s,t,f,f,e,t,?,s,w,w,w,c,y,w,n,n,b,n
1322,n,e,p,c,p,h,k,o,x,f,l,f,b,k,h,n,p,y,f,w,g,f,b,g
1323,w,e,p,c,p,n,s,o,x,f,p,t,e,s,k,w,u,s,y,w,n,p,n,n
1324,o,e,p,c,e,o,s,o,f,a,p,f,?,s,n,o,l,v,s,n,n,n,b,n
1325,w,t,p,c,e,k,s,o,f,f,p,t,b,s,w,p,d,v,y,w,n,n,b,n
1326,o,e,p,c,e,n,s,o,b,a,p,f,?,s,y,o,l,c,s,n,n,n,b,n
1327,w,e,p,c,e,n,y,o,x,f,p,t,r,s,n,w,g,s,y,w,y,a,b,y
1328,p,t,p,c,e,k,s,o,x,f,p,t,b,s,n,p,d,v,f,w,g,n,b,g
1329,b,e,p,c,p,h,k,o,f,f,l,f,b,k,p,b,d,y,y,w,g,f,b,g
1330,c,e,p,c,p,w,y,n,x,f,n,f,c,k,y,c,d,c,y,w,c,m,b,c
1331,b,e,p,c,p,h,k,o,x,f,l,f,b,k,p,n,d,y,f,w,g,f,b,g
1332,g,t,p,c,e,k,s,o,x,f,p,t,b,s,n,w,d,y,y,w,g,n,b,g
1333,p,t,p,c,e,k,s,o,f,f,p,t,b,s,p,p,d,v,f,w,g,n,b,g
1334,w,t,p,c,p,w,s,o,x,f,e,f,?,s,b,w,l,v,s,w,e,f,n,e
1335,w,e,p,w,e,w,s,t,x,f,p,f,?,s,p,w,g,n,f,w,g,n,b,g
1336,p,t,p,c,p,w,k,o,f,f,e,f,?,s,b,p,d,v,y,w,e,y,n,e
1337,p,t,p,c,p,w,k,o,k,f,e,f,?,k,b,w,d,v,s,w,e,f,n,e
1338,p,t,p,c,e,n,s,o,f,f,p,t,b,s,p,g,d,y,y,w,e,n,b,e
1339,w,t,p,w,e,n,s,o,x,f,e,f,e,f,h,w,g,s,s,w,g,n,b,g
1340,w,t,p,w,e,k,f,o,x,f,e,f,e,s,p,w,g,a,s,w,n,n,b,n
1341,p,t,p,c,e,n,s,o,f,f,p,t,b,s,w,g,d,y,f,w,e,n,b,e
1342,p,t,p,c,e,n,s,o,f,f,p,t,b,s,p,g,d,y,y,w,n,n,b,n
1343,w,e,p,c,e,n,s,o,b,f,p,t,c,s,g,w,m,n,y,w,w,l,b,w
1344,w,e,p,c,e,n,y,o,x,f,p,t,r,s,p,w,g,s,y,w,y,a,b,y
1345,n,e,p,c,p,h,k,o,f,f,l,f,b,k,h,p,g,v,y,w,g,f,b,g
1346,g,t,p,c,e,n,s,o,f,f,p,t,b,s,w,w,d,y,y,w,e,n,b,e
1347,p,t,p,c,p,w,k,o,x,f,e,f,?,s,b,p,l,v,s,w,n,s,n,n
1348,w,e,p,w,e,w,k,t,b,f,p,f,?,k,p,w,g,s,f,w,w,n,b,w
1349,o,e,p,c,e,b,s,o,x,a,p,f,?,s,o,o,l,v,s,n,n,n,b,n
1350,w,t,p,c,p,h,f,o,f,f,p,t,b,f,w,w,u,s,s,w,w,f,b,w
1351,p,t,p,c,e,k,s,o,x,f,p,t,b,s,p,g,d,v,y,w,e,n,b,e
1352,w,e,p,c,e,n,s,o,x,f,p,t,c,s,n,w,g,s,s,w,y,l,b,y
1353,n,e,p,c,p,h,k,o,f,f,l,f,b,k,h,p,p,v,f,w,y,f,b,y
1354,p,t,p,c,e,n,s,o,f,f,p,t,b,s,p,g,d,v,f,w,n,n,b,n
1355,w,e,p,c,e,n,s,o,b,f,p,t,c,s,w,w,m,s,s,w,w,l,b,w
1356,w,e,p,c,p,r,s,t,b,f,p,t,b,s,g,w,m,v,s,w,w,n,b,w
1357,p,e,p,c,p,h,k,o,f,f,l,f,b,k,h,n,d,v,y,w,y,f,b,y
1358,p,t,p,c,p,w,k,o,f,f,e,f,?,s,b,p,d,v,s,w,n,f,n,n
1359,w,t,p,c,p,h,s,o,f,f,p,t,b,f,p,w,u,v,s,w,w,f,b,w
1360,w,e,p,c,e,k,s,o,x,f,p,t,c,s,w,w,m,n,s,w,w,a,b,w
1361,w,t,p,w,e,n,s,o,x,f,e,f,e,s,p,w,g,a,f,w,g,n,b,g
1362,p,e,p,c,p,h,k,o,f,f,l,f,b,k,g,b,d,v,f,w,g,f,b,g
1363,w,e,p,c,e,n,y,o,f,f,p,t,r,s,n,w,g,s,y,w,y,a,b,y
1364,w,t,p,c,p,w,k,o,k,f,e,f,?,k,b,w,l,v,s,w,n,s,n,n
1365,w,e,p,c,e,n,y,o,x,f,p,t,r,s,w,w,g,s,y,w,y,l,b,y
1366,w,e,p,c,e,n,y,o,x,f,p,t,r,s,w,w,g,y,y,w,n,a,b,n
1367,w,t,p,c,p,w,k,o,f,f,e,f,?,k,b,p,l,v,y,w,e,s,n,e
1368,p,t,p,c,e,k,s,o,f,f,p,t,b,s,p,w,d,v,y,w,n,n,b,n
1369,w,t,p,w,e,n,s,o,f,f,e,f,e,f,p,w,g,a,f,w,w,n,b,w
1370,e,e,p,c,e,w,s,t,f,f,e,t,?,s,e,e,w,c,y,w,e,n,b,e
1371,w,t,p,c,p,w,s,o,k,f,e,f,?,s,b,p,d,v,y,w,n,s,n,n
1372,w,t,p,w,e,k,s,o,x,f,e,f,e,s,n,w,g,s,f,w,g,n,b,g
1373,w,t,p,c,p,w,k,o,k,f,e,f,?,s,b,w,l,v,s,w,n,s,n,n
1374,w,t,p,w,e,k,s,o,x,f,e,f,e,f,k,w,g,s,s,w,n,n,b,n
1375,w,t,p,c,p,h,s,o,x,f,p,t,b,s,w,w,g,v,s,w,w,f,b,w
1376,w,t,p,c,e,n,s,o,f,f,p,t,b,s,p,w,d,v,f,w,n,n,b,n
1377,w,t,p,c,e,k,s,o,x,f,p,t,b,s,n,p,d,y,y,w,g,n,b,g
1378,g,t,p,c,e,n,s,o,f,f,p,t,b,s,n,w,d,v,y,w,g,n,b,g
1379,w,e,p,c,e,h,f,o,f,f,f,f,?,s,p,w,d,y,y,w,u,n,n,u
1380,w,t,p,c,p,w,s,o,k,f,e,f,?,s,b,p,p,v,y,w,n,f,n,n
1381,w,t,p,w,e,n,f,o,f,f,e,f,e,f,h,w,g,a,f,w,w,n,b,w
1382,p,t,p,c,p,w,k,o,k,f,e,f,?,k,b,p,p,v,y,w,n,f,n,n
1383,o,e,p,c,e,y,s,o,k,a,p,f,?,s,y,o,l,v,s,n,n,n,b,n
1384,w,t,p,w,e,k,s,o,x,f,e,f,e,f,p,w,g,s,s,w,n,n,b,n
1385,w,t,p,c,e,n,s,o,x,f,p,t,b,s,n,p,d,y,f,w,n,n,b,n
1386,w,t,p,w,e,u,s,o,x,f,p,t,b,s,p,w,d,v,f,w,y,l,n,y
1387,p,t,p,c,p,w,k,o,k,f,e,f,?,s,b,w,d,v,s,w,e,y,n,e
1388,p,e,p,c,p,h,k,o,f,f,l,f,b,k,h,n,p,y,y,w,g,f,b,g
1389,p,t,p,c,p,w,k,o,x,f,e,f,?,s,b,p,p,v,s,w,e,s,n,e
1390,p,t,p,c,e,n,s,o,x,f,p,t,b,s,w,p,d,y,y,w,g,n,b,g
1391,p,e,p,c,p,h,k,o,f,f,l,f,b,k,h,p,p,y,y,w,g,f,b,g
1392,b,e,p,c,p,h,k,o,f,f,l,f,b,k,h,n,g,y,y,w,g,f,b,g
1393,w,e,p,c,e,k,y,o,x,f,p,t,r,s,n,w,g,y,y,w,y,l,b,y
1394,w,t,p,w,e,n,f,o,x,f,e,f,e,s,h,w,g,s,f,w,w,n,b,w
1395,p,t,p,c,e,n,s,o,x,f,p,t,b,s,u,w,d,y,f,w,e,n,b,e
1396,b,e,p,c,p,h,k,o,f,f,l,f,b,k,p,b,p,y,f,w,g,f,b,g
1397,p,e,p,c,p,h,k,o,f,f,l,f,b,k,g,n,g,v,y,w,g,f,b,g
1398,b,e,p,c,p,h,k,o,x,f,l,f,b,k,p,b,g,y,y,w,y,f,b,y
1399,w,t,p,c,p,w,k,o,f,f,e,f,?,s,b,p,l,v,s,w,e,y,n,e
1400,w,t,p,c,p,w,k,o,f,f,e,f,?,k,b,p,p,v,y,w,e,s,n,e
1401,w,t,p,w,e,n,s,o,x,f,e,f,e,s,n,w,g,s,f,w,n,n,b,n
1402,w,e,p,w,e,w,k,t,k,f,p,f,?,s,p,w,g,s,s,w,w,n,b,w
1403,w,t,p,w,e,k,s,o,f,f,e,f,e,f,k,w,g,a,f,w,n,n,b,n
1404,w,t,p,w,e,n,s,o,x,f,e,f,e,s,h,w,g,a,f,w,g,n,b,g
1405,w,t,p,c,e,n,s,o,x,f,p,t,b,s,u,w,d,y,f,w,g,n,b,g
1406,w,e,p,w,p,w,s,o,b,f,p,t,b,s,w,w,l,c,g,w,w,n,n,w
1407,w,e,p,c,e,k,s,o,x,f,p,f,e,s,n,w,u,v,f,w,g,n,n,g
1408,w,t,p,c,e,n,s,o,x,f,p,t,b,s,n,p,d,v,f,w,g,n,b,g
1409,n,e,p,c,p,h,k,o,f,f,l,f,b,k,g,n,p,v,y,w,g,f,b,g
1410,p,e,p,c,p,h,k,o,f,f,l,f,b,k,h,n,g,v,f,w,g,f,b,g
1411,g,t,p,c,e,n,s,o,f,f,p,t,b,s,u,g,d,y,f,w,n,n,b,n
1412,p,e,p,c,p,h,k,o,x,f,l,f,b,k,p,p,p,y,y,w,g,f,b,g
1413,p,t,p,c,p,w,s,o,f,f,e,f,?,s,b,w,p,v,y,w,n,f,n,n
1414,w,t,p,w,e,k,s,o,f,f,e,f,e,s,p,w,g,s,f,w,w,n,b,w
1415,n,e,p,c,p,h,k,o,f,f,l,f,b,k,h,b,p,v,y,w,g,f,b,g
1416,w,e,p,c,e,k,s,o,b,f,p,t,c,s,k,w,g,n,s,w,y,l,b,y
1417,w,t,p,c,e,k,s,o,f,f,p,t,b,s,u,g,d,y,f,w,e,n,b,e
1418,p,t,p,c,e,n,s,o,f,f,p,t,b,s,p,p,d,y,y,w,e,n,b,e
1419,w,t,p,w,e,k,f,o,f,f,e,f,e,s,p,w,g,a,s,w,n,n,b,n
1420,g,t,p,c,e,n,s,o,x,f,p,t,b,s,p,w,d,v,y,w,n,n,b,n
1421,w,e,p,c,e,h,f,o,f,f,f,f,?,s,w,w,d,v,y,w,r,n,n,r
1422,b,e,p,c,p,h,k,o,f,f,l,f,b,k,p,n,g,y,y,w,g,f,b,g
1423,n,e,p,c,p,h,k,o,x,f,l,f,b,k,p,b,g,y,y,w,g,f,b,g
1424,w,e,p,c,e,k,y,o,f,f,p,t,r,s,n,w,p,y,y,w,n,l,b,n
1425,p,t,p,c,e,n,s,o,x,f,p,t,b,s,u,g,d,y,y,w,n,n,b,n
1426,p,e,p,c,p,h,k,o,x,f,l,f,b,k,p,n,d,v,f,w,y,f,b,y
1427,p,t,p,c,p,w,k,o,x,f,e,f,?,k,b,p,p,v,y,w,n,f,n,n
1428,p,t,p,c,e,n,s,o,f,f,p,t,b,s,p,w,d,y,f,w,e,n,b,e
1429,w,t,p,c,p,h,s,o,x,f,p,t,b,s,p,w,g,s,s,w,b,f,b,b
1430,w,t,p,c,p,w,s,o,f,f,e,f,?,k,b,p,d,v,s,w,e,s,n,e
1431,g,t,p,c,e,n,s,o,f,f,p,t,b,s,p,p,d,y,y,w,n,n,b,n
1432,n,e,p,c,p,h,k,o,f,f,l,f,b,k,h,b,g,y,y,w,y,f,b,y
1433,p,e,p,c,p,h,k,o,x,f,l,f,b,k,h,n,p,v,y,w,y,f,b,y
1434,w,t,p,c,e,n,s,o,f,f,p,t,b,s,p,w,d,y,y,w,e,n,b,e
1435,w,t,p,c,e,k,s,o,x,f,p,t,b,s,p,g,d,y,f,w,g,n,b,g
1436,n,e,p,c,p,h,k,o,x,f,l,f,b,k,g,b,d,y,f,w,y,f,b,y
1437,w,e,p,c,e,n,y,o,f,f,p,t,r,s,w,w,g,y,y,w,n,a,b,n
1438,w,t,p,w,e,n,s,o,x,f,e,f,e,f,n,w,g,a,s,w,w,n,b,w
1439,p,t,p,c,p,w,s,o,f,f,e,f,?,k,b,w,l,v,s,w,e,s,n,e
1440,p,e,p,c,p,h,k,o,f,f,l,f,b,k,g,b,p,y,y,w,y,f,b,y
1441,w,t,p,c,e,n,s,o,x,f,p,t,b,s,w,g,d,v,y,w,g,n,b,g
1442,e,e,p,c,e,w,s,t,k,f,e,t,?,s,e,w,w,c,s,w,e,n,b,e
1443,w,e,p,c,p,n,s,o,x,f,p,f,b,s,u,w,d,v,s,w,p,c,n,p
1444,w,e,p,w,e,w,k,t,b,f,p,f,?,k,w,w,g,n,f,w,w,n,b,w
1445,p,t,p,c,e,k,s,o,x,f,p,t,b,s,n,p,d,v,f,w,e,n,b,e
1446,w,t,p,c,p,w,k,o,f,f,e,f,?,k,b,w,l,v,s,w,e,s,n,e
1447,g,t,p,c,e,n,s,o,x,f,p,t,b,s,w,w,d,y,f,w,e,n,b,e
1448,w,e,p,w,e,w,k,t,k,f,p,f,?,s,g,w,g,n,f,w,w,n,b,w
1449,w,t,p,c,e,n,s,o,f,f,p,t,b,s,p,g,d,y,y,w,g,n,b,g
1450,w,t,p,w,e,k,f,o,x,f,e,f,e,f,k,w,g,s,f,w,n,n,b,n
1451,w,t,p,c,e,n,s,o,x,f,p,t,b,s,u,p,d,y,y,w,e,n,b,e
1452,n,e,p,c,p,h,k,o,x,f,l,f,b,k,p,p,g,v,f,w,y,f,b,y
1453,w,t,p,c,e,n,s,o,f,f,p,t,b,s,p,p,d,v,f,w,n,n,b,n
1454,w,e,p,c,e,w,s,t,x,f,p,t,b,s,w,w,p,y,s,w,p,n,b,p
1455,b,e,p,c,p,h,k,o,f,f,l,f,b,k,h,b,p,y,y,w,g,f,b,g
1456,w,t,p,c,p,w,k,o,x,f,e,f,?,s,b,w,d,v,y,w,e,y,n,e
